callsign,freq_mhz,city,state,class,erp_kw,lat,lon
WBMM,497,Tuskegee,AL,DTV,52.0,32.06819,-85.94467
WBRC,563,Birmingham,AL,DTV,700.0,33.48861,-86.79944
WBUN-LP,551,Birmingham,AL,LPD,15.0,33.48444,-86.80694
WBXM-CD,479,Selma,AL,DCA,15.0,32.54075,-86.84242
WCGZ-LD,509,Lanett,AL,LPD,15.0,33.03706,-85.03047
WCIQ,207,Mount Cheaha,AL,DTV,46.0,33.48511,-85.80886
WCOV-TV,521,Montgomery,AL,DTV,670.0,31.97472,-86.16222
WCQT-LD,539,Cullman,AL,LPD,1.5,34.17164,-86.84397
WDBB,473,Bessemer,AL,DTV,675.0,33.48,-87.43056
WDFX-TV,587,Ozark,AL,DTV,179.0,31.208,-85.61356
WDHN,515,Dothan,AL,DTV,1000.0,31.24056,-85.31194
WDIQ,195,Dozier,AL,DTV,30.0,31.55461,-86.39219
WDPM-DT,527,Mobile,AL,DTV,390.0,30.61139,-87.60733
WDSF-LD,605,Montgomery,AL,LPD,15.0,32.42139,-86.42972
WDVZ-CD,63,Tuscaloosa,AL,DCA,2.95,33.15825,-87.51578
WEAC-CD,599,Jacksonville,AL,DCA,13.0,33.62222,-85.87194
WEDS-LD,545,Mobile,AL,LPD,15.0,30.462,-87.83064
WEEL-LD,521,Tuscaloosa,AL,LPD,0.25,33.21861,-88.09644
WEIQ,569,Mobile,AL,DTV,427.0,30.65944,-87.8925
WETU-LD,515,Montgomery,AL,LPD,15.0,32.33528,-86.28778
WFIQ,521,Florence,AL,DTV,418.8,34.57806,-87.78389
WFNA,551,Gulf Shores,AL,DTV,1000.0,30.689,-87.83072
WFRZ-LD,587,Montgomery,AL,LPD,15.0,32.40361,-86.19639
WGBP-TV,491,Opelika,AL,DTS,589.0,32.85189,-84.70153
WGEI-LD,551,Enterprise,AL,LPD,0.35,31.22639,-85.39267
WGIQ,569,Louisville,AL,DTV,702.0,31.71806,-85.43417
WGOX-LD,605,Mobile,AL,LPD,15.0,30.67944,-87.84
WGWW,189,Anniston,AL,DTV,15.6,33.60667,-86.4175
WHDF,57,Florence,AL,DTV,21.0,35.0025,-87.13583
WHIQ,533,Huntsville,AL,DTV,396.0,34.73683,-86.52919
WHNT-TV,503,Huntsville,AL,DTV,250.0,34.73861,-86.53222
WHVD-LD,599,Huntsville,AL,LPD,15.0,34.73689,-86.53303
WIAT,569,Birmingham,AL,DTV,1000.0,33.48389,-86.80583
WIIQ,503,Demopolis,AL,DTV,1000.0,32.36264,-87.87514
WIYC,503,Troy,AL,DTV,185.0,32.06014,-85.9505
