callsign,freq_mhz,city,state,class,erp_kw,lat,lon
KIDR,0.74,Phoenix,AZ,B,1.0,33.36533,-112.10903
KIHP,1.31,Mesa,AZ,B,3.4,33.362,-111.96819
KIKO,1.34,Apache Junction,AZ,C,1.0,33.38228,-111.53653
KJAA,1.24,Globe,AZ,C,1.0,33.38089,-110.75761
KKNT,0.96,Phoenix,AZ,B,5.0,33.69281,-112.00319
KMOG,1.42,Payson,AZ,D,3.0,34.26669,-111.31569
KNAI,0.86,Phoenix,AZ,B,0.94,33.42061,-112.12764
KNOT,1.45,Prescott,AZ,C,1.0,34.54503,-112.44683
KNST,0.79,Tucson,AZ,B,5.0,32.24842,-111.00897
KNTR,0.98,Lake Havasu City,AZ,D,1.0,34.50333,-114.35856
KNUV,1.19,Tolleson,AZ,D,0.64,33.49358,-112.13922
KNXN,1.47,Sierra Vista,AZ,D,2.5,31.54869,-110.24508
KOFA,1.32,Yuma,AZ,D,0.73,32.68975,-114.50092
KOY,1.23,Phoenix,AZ,C,1.0,33.43617,-112.11014
KPGE,1.34,Page,AZ,C,1.0,36.90556,-111.45794
KPHX,1.48,Phoenix,AZ,D,1.0,33.38922,-111.99875
KPXQ,1.36,Glendale,AZ,B,50.0,33.50783,-112.21767
KQNA,1.13,Prescott Valley,AZ,D,1.0,34.62947,-112.31683
KRVZ,1.4,Springerville,AZ,C,1.0,34.13811,-109.27147
KSAZ,0.58,Marana,AZ,B,5.0,32.45314,-111.28511
KSUN,1.4,Phoenix,AZ,C,1.0,33.38978,-111.99847
KTAN,1.42,Sierra Vista,AZ,B,1.5,31.54647,-110.27536
KTAR,0.62,Phoenix,AZ,B,5.0,33.47894,-112.00236
KTBA,0.76,Tuba City,AZ,D,0.25,36.13167,-111.25042
KTKT,0.99,Tucson,AZ,B,10.0,32.25536,-111.00953
KTNN,0.66,Window Rock,AZ,B,50.0,35.895,-109.14203
KTUC,1.4,Tucson,AZ,C,1.0,32.27703,-110.98119
KTZR,1.45,Tucson,AZ,C,1.0,32.20119,-110.94731
KUAZ,1.55,Tucson,AZ,D,50.0,32.37258,-111.09844
KVNA,0.6,Flagstaff,AZ,D,1.0,35.19056,-111.67767
KVOI,1.03,Cortaro,AZ,B,10.0,32.34758,-111.07261
KVWM,0.97,Show Low,AZ,D,5.0,34.21117,-110.00622
KXEG,1.28,Phoenix,AZ,D,2.5,33.49358,-112.13922
KXEW,1.6,South Tucson,AZ,B,1.0,32.19619,-110.98453
KXSL,1.47,Show Low,AZ,D,5.0,34.26364,-110.03928
KXXT,1.01,Tolleson,AZ,B,23.0,33.50781,-112.21767
KYBC,1.6,Cottonwood,AZ,D,1.0,34.72086,-111.99933
KYCA,1.49,Prescott,AZ,C,1.0,34.55086,-112.46322
KYET,1.17,Golden Valley,AZ,D,6.0,35.21306,-114.11467
KZZZ,1.49,Bullhead City,AZ,C,1.0,35.16889,-114.63858
KABC,0.79,Los Angeles,CA,B,6.6,34.01944,-118.34647
KAFY,1.1,Bakersfield,CA,B,4.2,35.44994,-118.94761
KAHI,0.95,Auburn,CA,B,5.0,38.85767,-121.02856
KAHZ,1.6,Pomona,CA,B,5.0,34.03,-117.72728
KALI,0.9,West Covina,CA,D,5.0,34.03,-117.72728
KATA,1.34,Arcata,CA,C,1.0,40.85347,-124.08478
KATD,0.99,Pittsburg,CA,B,10.0,38.50464,-121.18106
KAVL,0.61,Lancaster,CA,B,4.9,34.70608,-118.17758
KAZA,1.29,Gilroy,CA,D,1.5,36.96356,-121.4905
KAZN,1.3,Pasadena,CA,B,23.0,34.11889,-118.08256
KBFP,0.8,Bakersfield,CA,B,1.0,35.34553,-118.99344
KBIF,0.9,Fresno,CA,B,1.0,36.69161,-119.68042
KBLA,1.58,Santa Monica,CA,B,50.0,34.08556,-118.25758
KBLF,1.49,Red Bluff,CA,C,1.0,40.1935,-122.21667
KBOV,1.23,Bishop,CA,C,1.0,37.34547,-118.39622
KBRE,1.66,Merced,CA,B,10.0,37.278,-120.62742
KBRT,0.74,Costa Mesa,CA,D,50.0,33.82892,-117.63922
KCAA,1.05,Loma Linda,CA,D,1.4,33.98947,-117.18697
KCAL,1.41,Redlands,CA,B,2.0,34.11083,-117.15392
KCBC,0.77,Manteca,CA,B,50.0,37.79742,-120.88467
KCBL,1.34,Fresno,CA,C,1.0,36.76411,-119.78653
KCBQ,1.17,San Diego,CA,B,50.0,32.89506,-116.92614
KCBS,0.74,San Francisco,CA,B,50.0,38.13964,-122.53025
KCEO,1.0,Vista,CA,B,10.0,33.23281,-117.27058
KCFJ,0.57,Alturas,CA,D,5.0,41.30544,-120.51494
KCHJ,1.01,Delano,CA,B,5.0,35.81106,-119.32261
KCLU,1.34,Santa Barbara,CA,C,0.74,34.41878,-119.687
KCNR,1.46,Shasta,CA,B,0.75,40.55375,-122.3825
KCVR,1.57,Lodi,CA,B,1.0,38.08603,-121.21689
KCVV,1.24,Sacramento,CA,C,1.0,38.58797,-121.46911
KDAC,1.23,Fort Bragg,CA,C,1.0,39.44294,-123.78114
KDIA,1.64,Vallejo,CA,B,10.0,37.89547,-122.32525
KDOW,1.22,Palo Alto,CA,D,5.0,37.48439,-122.13553
KDYA,1.19,Vallejo,CA,D,3.0,38.13408,-122.42664
KEAR,0.61,San Francisco,CA,B,5.0,37.84936,-122.29664
KECR,0.91,El Cajon,CA,B,5.0,32.89561,-116.92642
KEIB,1.15,Los Angeles,CA,B,50.0,34.03333,-117.98422
KEJB,1.48,Eureka,CA,B,5.0,40.74097,-124.20256
KEJY,0.76,Eureka,CA,B,0.5,40.80042,-124.12867
KERI,1.41,Bakersfield,CA,B,1.0,35.35192,-118.959
KERN,1.23,Bakersfield,CA,C,1.0,35.34803,-119.01011
KESP,0.97,Modesto,CA,B,1.0,37.68964,-120.95439
KEST,1.45,San Francisco,CA,C,1.0,37.71606,-122.39497
KEYQ,0.98,Fresno,CA,D,0.5,36.74106,-119.85431
KEZY,1.24,San Bernardino,CA,C,0.7,34.07222,-117.29867
KFAX,1.1,San Francisco,CA,B,50.0,37.63217,-122.13136
KFBK,1.53,Sacramento,CA,A,50.0,38.84822,-121.48383
KFI,0.64,Los Angeles,CA,A,50.0,33.87972,-118.01394
KFIA,0.71,Carmichael,CA,B,25.0,38.83267,-121.31856
KFIG,1.43,Fresno,CA,B,5.0,36.89078,-119.65931
KFIV,1.36,Modesto,CA,B,4.0,37.68964,-120.95439
KFOO,1.44,Riverside,CA,B,1.0,34.02669,-117.35839
KFOX,1.65,Torrance,CA,B,10.0,34.01944,-118.34564
KFPT,0.79,Clovis,CA,B,5.0,36.84411,-119.68792
KFRN,1.28,Long Beach,CA,B,0.43,33.89169,-118.18564
KFSD,1.45,Escondido,CA,C,1.0,33.11725,-117.12003
KFSG,1.69,Roseville,CA,B,10.0,38.74767,-121.49356
KFSQ,1.27,Thousand Palms,CA,B,5.0,33.85114,-116.39417
KFWB,0.98,Los Angeles,CA,B,5.0,34.06972,-118.19397
KGB,0.76,San Diego,CA,B,5.0,32.84256,-117.02586
KGBA,1.49,Heber,CA,C,1.0,32.742,-115.55306
KGBN,1.19,Anaheim,CA,B,20.0,33.945,-117.86311
KGED,1.68,Fresno,CA,B,10.0,36.66022,-119.68458
KGEN,1.37,Tulare,CA,D,0.71,36.20439,-119.56567
